Budget,Release Year,Revenue,Title,Starring Actors Popularity
70000000,2008,113280098,Body of Lies,4548.639108
70000000,2008,225990978,Yes Man,4512.475253
70000000,2008,72108608,Babylon A.D.,1860.257602
52000000,1998,98126565,The Thin Red Line,316.4181956
19000000,1964,4750000,The Fall of the Roman Empire,510.2215991
55000000,2000,56932305,Shanghai Noon,600.161823
55000000,2000,330444045,Meet the Parents,1648.536761
46000000,1994,341631208,The Flintstones,314.527313
60000000,2003,26288320,Sinbad: Legend of the Seven Seas,3502.274821
60000000,2003,119940815,Intolerable Cruelty,2023.902905
60000000,2003,176070171,The Italian Job,1433.686784
60000000,2003,74208267,The Core,495.1428968
60000000,2003,96269812,Paycheck,2544.611194
60000000,2003,164433867,Daddy Day Care,4056.674213
50000000,1997,314178011,As Good as It Gets,1731.654714
50000000,1997,48169156,G.I. Jane,2228.336025
50000000,1997,109423648,The Game,1527.211336
50000000,1997,50068310,Absolute Power,1917.033886
50000000,1997,10541523,Mad City,2176.262445
67000000,2007,25037897,Grindhouse,1113.78237
67000000,2007,25303038,The Last Legion,847.2561182
65000000,2006,43545364,We Are Marshall,1433.731563
65000000,2006,422610419,300,516.2451245
44000000,1993,368875760,The Fugitive,7344.929054
40000000,1990,244527583,Back to the Future Part III,1634.650885
45000000,1994,117615211,The Client,1295.648873
45000000,1994,170362582,The Specialist,2244.578532
