Budget,Release Year,Revenue,Title,Starring Actors Popularity,profit
70000000,2000,374111707,What Women Want,3340.606064,304111707
86000000,2007,14373825,Awake,2078.086041,-71626175
72000000,2001,37317558,The Majestic,3940.687678,-34682442
72000000,2001,27642707,The Last Castle,943.0949458,-44357293
55000000,1992,149022650,Death Becomes Her,853.4316033,94022650
60000000,1995,35431113,Money Train,32.29361868,-24568887
60000000,1995,104324083,Under Siege 2: Dark Territory,115.3155439,44324083
76000000,2003,236350661,2 Fast 2 Furious,437.3632314,160350661
85000000,2007,340487652,Enchanted,253.2634662,255487652
85000000,2007,311312624,Ocean's Thirteen,5249.473875,226312624
85000000,2007,149044513,Surf's Up,528.4371779,64044513
82500000,2006,237681299,Click,1569.423988,155181299
80000000,2005,5989640,A Sound of Thunder,355.6620216,-74010360
80000000,2005,162944923,The Interpreter,1314.935601,82944923
80000000,2005,10166502,The Great Raid,1160.821779,-69833498
90000000,2009,524028679,Sherlock Holmes,1313.08743,434028679
90000000,2009,886686817,Ice Age: Dawn of the Dinosaurs,2237.630529,796686817
65000000,1998,250821495,You've Got Mail,3538.986625,185821495
65000000,1998,40002112,I Still Know What You Did Last Summer,222.286077,-24997888
75000000,2003,51142659,Hollywood Homicide,7796.742136,-23857341
44000000,1985,300400432,Rambo: First Blood Part II,729.4129891,256400432
66000000,1999,212404396,Entrapment,3519.542551,146404396
70000000,2001,176104344,Dr. Dolittle 2,3134.133338,106104344
72000000,2002,408247917,Signs,4479.273066,336247917
60000000,1996,129832389,Jingle All the Way,4244.5466,69832389
58000000,1995,352194034,GoldenEye,924.3418408,294194034
50000000,1990,41482207,Gremlins 2: The New Batch,357.3043811,-8517793
40600000,1983,90400000,Trading Places,413.1787696,49800000
85000000,2008,160388063,Hellboy II: The Golden Army,479.1915666,75388063
85000000,2008,222231186,Jumper,3795.230674,137231186
80000000,2006,660940780,Ice Age: The Meltdown,1254.28025,580940780
80000000,2006,343397247,Over the Hedge,5086.848041,263397247
65000000,1999,36850101,My Favorite Martian,536.1338195,-28149899
65000000,1999,162091208,Eyes Wide Shut,4697.753973,97091208
65000000,1999,117758500,Blue Streak,249.2744423,52758500
75000000,2004,196482882,50 First Dates,2367.740138,121482882
75000000,2004,367275019,Shark Tale,4339.666084,292275019
75000000,2004,288500217,The Bourne Supremacy,2794.79659,213500217
48000000,1989,474171806,Indiana Jones and the Last Crusade,6622.111571,426171806
74500000,2004,62172050,Two Brothers,554.2707946,-12327950
68000000,2001,71069884,The Score,2223.335365,3069884
68000000,2001,96976270,Enemy at the Gates,838.26372,28976270
68000000,2001,203388341,Vanilla Sky,5624.555913,135388341
70000000,2002,32287044,Hart's War,5245.91234,-37712956
70000000,2002,19924033,Ballistic: Ecks vs. Sever,1134.109643,-50075967
70000000,2002,277448382,xXx,2074.925692,207448382
70000000,2002,33561137,I Spy,4094.325049,-36438863
70000000,2002,65977295,Bad Company,1998.749362,-4022705
64000000,1999,74608570,Random Hearts,8324.832996,10608570
49000000,1990,20423389,The Adventures of Ford Fairlane,0.0,-28576611
55000000,1994,214015089,Disclosure,1520.930152,159015089
55000000,1994,677945399,Forrest Gump,1090.40604,622945399
60000000,1997,26673242,Event Horizon,1966.049135,-33326758
60000000,1997,159330280,The Jackal,1717.47504,99330280
60000000,1997,33956608,The Relic,474.9674032,-26043392
85000000,2009,219103655,It's Complicated,2278.959221,134103655
35000000,1979,31755742,1941,437.6197884,-3244258
35000000,1979,139000000,Star Trek: The Motion Picture,53.23645677,104000000
80000000,2007,15071514,The Invasion,1480.527214,-64928486
65000000,2000,128884132,Space Cowboys,3210.397048,63884132
65000000,2000,69700000,The Kid,4670.531146,4700000
63000000,1999,463517383,The Matrix,1067.049569,400517383
63000000,1999,100853753,Fight Club,2266.913531,37853753
75000000,2005,142400065,The Legend of Zorro,2331.698426,67400065
75000000,2005,260696994,Robots,3963.424818,185696994
75000000,2005,532680671,Madagascar,2938.001159,457680671
39000000,1983,75850624,Superman III,1390.167373,36850624
40000000,1984,30925690,Dune,44.22700825,-9074310
57000000,1996,115267375,DragonHeart,90.92921096,58267375
68000000,2002,193000000,The Sum of All Fears,2584.20325,125000000
70000000,2003,85632458,Tears of the Sun,5176.988557,15632458
70000000,2003,122919055,Big Fish,3008.16684,52919055
55000000,1995,346079773,Pocahontas,986.0939917,291079773
55000000,1995,127600435,First Knight,3123.242114,72600435
60000000,1998,186883563,The Horse Whisperer,1970.507211,126883563
60000000,1998,264118201,The Truman Show,2774.695702,204118201
60000000,1998,171757863,Antz,753.2061156,111757863
76000000,2006,69959751,Children of Men,1077.073386,-6040249
63600000,2000,19412993,Get Carter,2615.760002,-44187007
80341000,2008,127814609,Red Cliff,269.2463012,47473609
50000000,1992,159773545,Alien³,642.0646625,109773545
34000000,1979,210308099,Moonraker,1416.41342,176308099
35000000,1980,27107960,Flash Gordon,1443.776921,-7892040
47000000,1990,103738726,Dick Tracy,1111.755372,56738726
80000000,2008,233093859,The Day the Earth Stood Still,3759.225929,153093859
80000000,2008,163733697,Four Christmases,1619.457372,83733697
80000000,2008,212874442,Bedtime Stories,1845.075183,132874442
80000000,2008,178066569,Eagle Eye,1306.787757,98066569
80000000,2008,230685453,Get Smart,964.4432223,150685453
65000000,2001,117487473,A Knight's Tale,436.1330465,52487473
75000000,2006,140175006,Monster House,62.91868209,65175006
75000000,2006,42285169,Lady in the Water,634.9809745,-32714831
48000000,1991,390493908,Robin Hood: Prince of Thieves,1093.762779,342493908
57000000,1997,152944660,The Devil's Advocate,1377.220521,95944660
68000000,2003,75715436,Dreamcatcher,2913.971146,7715436
70000000,2004,57958696,Sky Captain and the World of Tomorrow,1460.351506,-12041304
70000000,2004,171183863,AVP: Alien vs. Predator,165.352109,101183863
70000000,2004,130293714,Man on Fire,2385.464546,60293714
70000000,2004,154648887,The Phantom of the Opera,311.0518778,84648887
72000000,2005,96889998,Jarhead,824.5191246,24889998
62000000,2000,127666415,U-571,1458.87903,65666415
55000000,1996,121969216,Executive Decision,396.4417057,66969216
