Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
5000000,4040588,Bottle Shock,6.6,2008/8/6,2008,1768.320498
5000000,1296184,"War, Inc.",5.6,2008/4/28,2008,1078.068987
3500000,9482579,She's the One,5.7,1996/8/26,1996,666.1250588
3800000,28200000,East Is East,6.5,1999/5/14,1999,0
1700000,9700000,Conquest of the Planet of the Apes,6.1,1972/6/29,1972,77.68633533
4000000,44909486,Monster's Ball,6.5,2001/11/11,2001,953.8037729
6000000,35401758,Room,8.1,2015/10/16,2015,445.0567455
6000000,11122090,We Are Your Friends,6.3,2015/8/26,2015,631.1799626
5000000,9760104,Moon,7.6,2009/6/12,2009,2044.065619
5000000,17872796,Soul Kitchen,7.1,2009/9/9,2009,9.940128345
3500000,257850122,The Full Monty,6.8,1997/8/13,1997,0
1700000,8844595,Battle for the Planet of the Apes,5.5,1973/6/15,1973,102.5446677
4000000,146402,Mondays in the Sun,7.1,2002/9/27,2002,0
4000000,35564473,Bowling for Columbine,7.3,2002/10/9,2002,11.35432686
4000000,9304609,Secretary,6.7,2002/1/11,2002,23.52821623
1455000,2620000,Shalako,5.4,1968/11/6,1968,2263.965979
5500000,99067206,Instructions Not Included,7.5,2013/7/20,2013,0
4200000,32000000,Night Watch,6.3,2004/6/27,2004,0
5000000,5129058,Rabbit Hole,6.9,2010/12/16,2010,2131.838069
5000000,5476793,Tucker and Dale vs Evil,7.3,2010/1/22,2010,498.6117443
5000000,4074023,Sea Rex 3D: Journey to a Prehistoric World,5.9,2010/5/14,2010,0
5000000,2614773,Everything Must Go,6,2010/10/15,2010,1264.259443
3000000,15938065,Jason Goes to Hell: The Final Friday,4.2,1993/8/13,1993,70.12633526
3000000,1200000,Excessive Force,4.5,1993/5/14,1993,173.6405996
1000000,9000000,Love Me Tender,5.5,1956/11/15,1956,0
4000000,119723856,Lost in Translation,7.3,2003/8/31,2003,302.672814
5500000,5000000,Miss Julie,5.9,2014/9/7,2014,1434.280253
5500000,5483299,Wish I Was Here,6.4,2014/1/18,2014,1010.575652
5000000,25562924,Apollo 18,5,2011/7/20,2011,0
5000000,205703818,Paranormal Activity 3,5.9,2011/10/19,2011,453.0167653
5000000,3099314,Take Shelter,7.1,2011/11/25,2011,95.87409921
4000000,30039392,Shaun of the Dead,7.5,2004/4/9,2004,0
910000,9600000,On the Waterfront,8,1954/6/22,1954,52.90231427
2000000,24600832,Mad Max 2: The Road Warrior,7.3,1981/12/24,1981,295.1792139
5000000,9206470,Bernie,6.5,2012/4/27,2012,3262.02197
5000000,142817992,Paranormal Activity 4,5.2,2012/10/17,2012,684.1620306
4798235,209696,The Awakening,6.3,2011/8/17,2011,538.8669732
1600000,4420000,The Conversation,7.5,1974/4/7,1974,150.6962484
4000000,152925093,Saw II,6.3,2005/10/28,2005,0
4000000,866999,Mirrormask,6.6,2005/1/25,2005,0
4500000,744816,Life During Wartime,6.3,2009/10/10,2009,104.3382388
2200000,21930418,Friday the 13th: A New Beginning,5.1,1985/3/22,1985,0
5000000,31724284,Spring Breakers,5,2013/1/24,2013,3102.693966
